uniqueID,drugName,condition,review,rating,date,usefulCount
136941,Isotretinoin,Acne,"""I was not sexy. Now I look sexy. This stuff works. 

(Still on it because it&#039;s only been 4 months.)""",10,12-Jul-16,3
137007,Isotretinoin,Acne,"""I&#039;ve already commented before I just wanted everyone to know I&#039;m off roacutane now. It&#039;s been just over a month and having my final check up soon. So happy with the results honestly. I feel so much more confident and happy it was worth every side effect. for the first time in 8 years(I&#039;m 18) I now can go out of the house without makeup on. And I&#039;m not exaggerating. I&#039;m so happy and I honestly think anyone with bad skin should try this honestly it&#039;s so worth it""",10,11-May-16,28
137411,Isotretinoin,Acne,"""I took Roaccutane 9 years ago at the age of 30. Although I didn&#039;t have cystic acne, I had had persistent facial acne since the age of 12, and nothing helped. Initially the drug helped a lot, with the major side effect being severely chapped lips and dry skin. After several months of treatment my dose was increased. Within days I was depressed and miserable, with crying spells. It took me a while to put 2 and 2 together and consider the medicine as a likely cause. I dropped the dose down again and I quickly improved. However, I feel the damage was done and I gradually became more and more depressed and ultimately was taken of the medicine. For the past 9 years I have suffered depression and anorexia nervosa.""",2,18-Dec-10,13
137284,Isotretinoin,Acne,"""I have been taking 30 mg once daily for the last month. It&#039;s definitely doing something. I&#039;ve broken out everywhere and I mean everywhere. Huge, gross, cystic and nodular pimple. BUT my dermatologist said that it has to get better before it gets worse. Where my skin isn&#039;t being overran by grossness you can tell that it is clearing up and looking healthier. Tomorrow I will start my new dosage of 40 mg twice daily(the first month you start with 30 a day and then after that my dermo said they figure it out with your body weight) Side effects: pretty bad chapped lips, dry wrists and arms, also always in the bathroom cause I&#039;ve been drink between a gallon and half to two gallons of water a day.""",8,21-Feb-12,8
137410,Isotretinoin,Acne,"""I used Accutane for 3 months and my skin was flawless. Literally one of the best decisions of my life. My doctor told me not to drink but it was my senior year of high school so I still drank a lot on it. I seemed to get drunk quicker. I hope my liver is okay! My skin cleared up then it came back when I got to college, whenever I was stressed I would breakout, but whatever it&#039;s still better than it used to be.""",10,21-Dec-10,3
137543,Isotretinoin,Acne,"""I thought that this drug was spectacular. I got a little rash, chapped lips, and dry skin, but my severe acne was cleared away by this miracle drug.""",9,20-Mar-09,1
137499,Isotretinoin,Acne,"""I had cystic nodular acne on my face, back, and chest. I&#039;ve tried every acne medication under the sun!! Accutane worked great and i could tell a difference within a month of using it. It&#039;s been 3 years since I took it and I&#039;m still all clear. I would recommend Accutane to anyone with acne.""",10,22-Mar-08,73
137055,Isotretinoin,Acne,"""I am only in the middle of my second month taking isotretinoin but I have seen amazing results already! My first month I noticed I didn&#039;t have bad breakouts anymore and my skin was starting to heal. Since my dosage as doubled in my second month I can defiantly notice more side effects dry skin, nose bleeds/ scabbing, sore muscles/joints and dry/ red eyes but it is nothing too unbearable. I am just super happy I have found something that has worked! I am a moderate case of acne and I have almost gotten clear before even two months!""",8,4-Dec-15,3
136958,Isotretinoin,Acne,"""At 19 I started experiencing SEVERE cystic acne-constant dime, penny, and nickel sized cysts, usually 3-5+ in various spots on my face at a time. They were embarassing &amp; extremely painful to the point of having limited facial movement/expression. After 2 years of trying everything possible (including painful cortisone shots!) I went to a new derm who finally let me try Zenatane (generic brand Accutane). My acne did get worse at first, then I began to see real results at ~ month 5. After 9 months of treatment I was completely clear &amp; have been clear ever since. I did experience many side effects such as extreme dryness, INSANE mood swings, bad body aches, hemorrhoids, tirediness, &amp; more, but it was all worth it. Don&#039;t give up on the process!""",10,2-Dec-16,3
137193,Isotretinoin,Acne,"""After suffering from persistent acne for 7 years I asked my gp to refer me to dermatology (after trying everything from my docs). I first went in Oct 2014 and was put on doxycycline. Not sure why as I already tried this from my Gp but the dermatologist was adamant not to put me on roaccutane as I have suffered with depression for years! Had my review 2 week ago and I seen a new dermatologist as the previous one had left (thank god!) she wanted to put me on roaccutane with no hesitations. Had my blood test done 20 minutes later then picked my prescription up the next day :) soooo happy already! I&#039;m already seeing results and I&#039;m just about going into my second week. My face is so much clearer. I would recommend this treatment up to now x""",10,15-Feb-15,12
137429,Isotretinoin,Acne,"""I am 15 and have been taking Amnesteem for about a week now because I have very bad acne on my cheeks and I must say it is very effective. Since I started this my skin dried up and my acne redness is definitely going away; however, it was kind of crazy the first 3 days cause my big red spots started getting white heads but they dried up very quickly and then flaked off in a day or two. I am 15 and the only bad thing about this is the chapped lips, dry skin,lower back aches, and I have arthritis in my left knee and it seems that it is making it hurt more but other than that this medicine is A MIRACLE!""",10,28-Jan-10,7
137181,Isotretinoin,Acne,"""We are disappointed.  My 14 year old son has taken 40 mg 1x/day for 18 days and his skin is worse than ever.  He seems more moody than normal and his lips are super chapped (I feel like the chapped-lip police with my chapstick in hand).  We really hoped for results of any kind with his cystic acne.  We are going to try a higher dose after he gets the blood test in a week or so. He is discouraged. The cost of the higher dosage is almost prohibitive.  Our insurance doesn&#039;t cover meds because we have a high deductible but we feel that clearing up his acne is important for his self esteem.  It seems criminal to charge so much for meds.""",1,6-Apr-15,8
136982,Isotretinoin,Acne,"""I was depressed by my acne but was hesitant to try Accutane because I feared the side effects. After months of researching reviews and testimonies I finally decided to try it. I never write reviews but I want to share my story because accutane worked for me. It changed my life and self-esteem. I experienced very little side effects while taking it. My acne did get worse before it got better, but I&#039;ve been off accutane for almost two years and my skin has stayed clear. I had hoped to come across a review like this while I was researching the drug, and I hope this is reassuring to people who need it.""",10,3-Oct-16,121
137229,Isotretinoin,Acne,"""I am an 18 year old girl who has had acne since the fourth grade. I have been on countless medications to try and help my skin; Tetracycline, Minocycline, Doxycycline, and Ortho Tri-Cyclen (birth control). None of these helped. I have used Proactive (twice) that didn&#039;t help in the least bit, so my last resort was Accutane. I was very nervous about it, having done my research on it, I wasn&#039;t sure if I wanted to. Well, let me tell you, I am so glad I did. I am only on my second month, and my skin is so smooth. Before, I had cysts and nodules all along my jaw, my neck, my chest, my upper back, and my cheeks. Now, they&#039;re flat and fading. I don&#039;t have any on my face, my chest is now drying out, and my neck looks better. """,10,10-Jan-14,4
137051,Isotretinoin,Acne,"""I have been on the drug about 7 weeks and have had no real change in my acne just real dry chapped lips and dry skin but spots are still here, how long til it changes and they start to go away?""",1,15-Dec-15,9
137277,Isotretinoin,Acne,"""Accutane IS awesome! Of course you&#039;re going be dry- but you will be clear and stay clear. Stick with it- the side effects are only temporary but clear skin forever is worth it.""",9,12-Jun-13,17
137439,Isotretinoin,Acne,"""This was the only drug that ever cleared up the horrible acne problem I had with minimal side effects which included dry sinuses (bleeding from nose), VERY dry lips, easily sunburned, and some other minor irritation but that was all worth it for clearing up the horrible acne I had and changing my life forever as it did!""",10,3-Dec-09,12
137013,Isotretinoin,Acne,"""I am a 40 year old male who has been subject to moderate acne my entire life starting at age 13.  It has never been debilitating but it has caused certain self esteem issues (rather it has exacerbated self esteem issues).  In an effort to make this as concise as possible, 99% of all that is on the internet will all the &quot;bad stuff&quot; written about this drugs are NOT true.  Although my experience is one case, my case is a solid and reliable example of the true effects of Amnesteem / Accutane.  The biggest issue with this drug are the insurance companies and the constant monthly battles to get them to cover it.  Remember folks, having insurance is not the same this as having access to proper care and insurance coverage. BEST DRUG EVER!""",10,23-Apr-16,2
137469,Isotretinoin,Acne,"""I was reading a bunch of the reviews about Accutane and it is great to hear that it has been successful for these peoples cases. My acne was by no means a case to go to the extreme of taking this medicine. I agree that Accutane can effectively treat acne, but I due to my personal experience I would take extreme caution. After the first couple months of taking it others close to me noticed a pretty big difference in my mood. By the January 2009 the 5th month I was clinically diagnosed with severe depression and anxiety.""",1,28-Mar-10,16
137018,Isotretinoin,Acne,"""My son has severe acne from his Crohn&#039;s drugs and now he wants to take Accutane - I see it as a death sentence of sorts, but I can understand what he is going through at just 13 years old. Has anyone tried Accutane when they are already wrestling with Crohn&#039;s? His Crohn&#039;s is in remission and he is using Humira every two weeks now. We suspect Prednisone as the initial cause of his acne.""",1,15-Apr-16,7
136973,Isotretinoin,Acne,"""I had struggled with moderate acne for 4 years. I tried every lotion and potion possible on prescription and every medicated facial wash available for acne prone skin. Nothing worked. Finally after a year of waiting for an appointment my dermatologist prescribed 30mg of isotretinoin (roaccutane).  It has taken about 3 months to start to see an improvement and now almost 6 months in my skin is completely clear. It has really helped my self confidence. The good thing is my clear skin will be permanently clear and the dreaded acne will not return. Other than severely dry lips and quite a few nose bleeds (although not as many as I thought) my side effects have been minimal. Stick with it, it definitely works, you just have to be patient.""",9,20-Oct-16,30
137262,Isotretinoin,Acne,"""I&#039;ve had acne since I was 11. Nothing my doctor prescribed had any effect on my skin so I started my course of isotretinoin when I was 17. In short, it gets worse before it gets better. My skin only started improving in the last month of my course. I still have acne but it&#039;s not nearly as bad (and with my newly vamped up skincare routine it&#039;s getting better daily).
As with most acne treatments, it was pretty drying (you&#039;ll need a good moisturizer and lip balm) but it&#039;s nothing permanent. I didn&#039;t find the pregnancy/blood tests a hassle either, at this point I was willing to do anything to sort out my skin. I think it was totally worth it! If, like me, you&#039;ve had acne for years and years, it&#039;s definitely worth a try!""",8,11-Aug-13,3
137030,Isotretinoin,Acne,"""I&#039;m on my last week of accutane and have been taking it for 5 months. All of my acne has cleared up except for one or two pimples but I still have acne scars left. My only side effect symptoms at first included dry lips, dry eyes, back pain, and blurry vision, but now I&#039;m experiencing mood swings and depression. It is not severe but I have noticed that I&#039;ve been acting different for no real reason. I honestly can&#039;t wait to get off the drug just to return to my normal self and feel like I have more control over my emotions. Overall, I think the side effects are worth it for the results that I&#039;ve gotten from accutane, but I am worried that after I&#039;m done taking it that my acne will return.""",6,5-Feb-16,14
137233,Isotretinoin,Acne,"""I developed acne at about 11 years old.  It wasnt bad, but it got worse.  At about 12-13 years old, it hit hard and got really bad.  I tried everything you could possibly think of.  You say it, I&#039;ve tried it.  But nothing at all worked.  I tried things as little as home remedies to expensive dermatologist cleansers that cost over $100 a bottle.  Still, nothing worked.  For a while I nearly gave up hope, I was so insecure about my skin I wouldn&#039;t even dare to leave the house, let alone my room, without makeup on.  I found makeup was like my security blanket in a way.  I discovered Accutane and let me tell you, it is THE best thing I have ever tried. My acne is gone and 
I&#039;m 15 now. I couldn&#039;t be more happier.  I believe Accutane is a cure.""",10,26-Dec-13,61
136984,Isotretinoin,Acne,"""My son started zanatane 5 months ago after trying EVERYTHING  else. This is the ONLY thing that has cleared his skin (took almost 5 months) His Dr started him off w/ 20 mg twice a day..now he is taking 60 MG twice a day.  To those complaining about side effects...his Dr stated he must take this w/high fat foods...peanuts, peanut butter, bacon, etc.(2 help absorb the med)  His 1st 2 blood tests came back a little high so she did not up his dosage. He ate more fat when taking the pills (few scoops pb)&amp; now on higher dose his counts are good.  Do not listen 2 scary stories about this med.  His Dr said she has been prescribing for 12 yes &amp; NEVER had a bad side effect reported (other than dry skin, lips). Wish he went on this sooner (18 yrsold)""",10,25-Sep-16,12
136864,Isotretinoin,Acne,"""In the sense of clearing skin, yes it did amazing, 
Almost to good to be true. I honestly told everyone about it.
I took it for 6 months,
Later that year I self harmed for the first time, this continued for years after taking Accutane I&#039;ve suffered from depression, my weight starting changing dramatically I went from almost 200 to just just below 100 back up to 170 in a short amount of time. Around that time I was checked into an eating disorder center. The depression plus eating issues and lack of energy I looked for another way to be okay, I started on street drugs to control my depression, before Accutane I was such a happy guy, I know it&#039;s discounted, and for good reason too I just thought people might be able to relate.""",3,18-Apr-17,13
137088,Isotretinoin,Acne,"""I started accutane late December, 2015. I was on it for 7 weeks 5 days when I had to temporally stop because my liver enzymes were elevated. At this point I was taking 60 mg per day. In regards to my acne, my skin was clearing beautifully! I&#039;m very happy with the results. However, I experienced side effects such as dry skin, dry lips, joint pain, headaches and trouble sleeping sometimes. Within two weeks after stopping accutane, I did some blood work. My results showed that my liver enzymes were back to normal so my doctor advised me to start accutane again. I&#039;m currently taking 60 mg again everyday and I have roughly about 11 weeks more to go on accutane. I do get 1-2 pimples and a few blackheads but nothing cystic.""",9,9-Mar-16,10
136878,Isotretinoin,Acne,"""I ran out of room with writing my other review but I use cetephil daily face cleanser and daily advance lotion. I use aquaphor for my lips. I keep it at all times. With my side effects I also have severe muscle aches!!!!! I hope this helps anyone who is considering to use accutane. I recommend it but keep a close eye on your Side effects. I&#039;m happy with how it&#039;s working as of now just my complexion isn&#039;t good. I also HIGHLY recommend to not pull off dry skin! As it will lead to a red mark and become dryer and will become a scar. And do not pick at any zits. I&#039;m a big picker, I&#039;m constantly feeling on my face and pick if I feel anything. It leads to scarring. Be patient with it. You&#039;ll look great afterwards.""",10,7-Mar-17,7
137548,Isotretinoin,Acne,"""I didn&#039;t like my lips looking like sandpaper for 5 months of my life, but otherwise it worked.""",8,27-Jan-09,17
137540,Isotretinoin,Not Listed / Othe,"""I had acne since the 7th grade. Tried everything from prescription topical creams, laser treatment, etc. but nothing ever worked. By the end of my sophomore year in high school my dermatologist prescribed me a 6 month supply of Accutane. I can&#039;t stress enough how amazing this pill is. Yeah, I had dry skin and lips like the rest of you but who cares? That stuff CAN be fixed with simple solutions...obviously severe acne cannot. I&#039;ve been off it for about 3 years and the acne has not come back. If you have bad acne and you&#039;re contemplating Accutane..give it a try. It&#039;s worked for many people and really boosts your confidence.""",10,27-Mar-09,0
137153,Isotretinoin,Acne,"""Yesterday, my dental hygienist asked me how I got my skin so clear. I almost cried because no one has ever complimented me on my skin before. My skin was the source of a great deal of unhappiness, anxiety, and stress in my life prior to Accutane. Thank you, Accutane, for giving me back my confidence and life.

As for side effects: very minimal. No changes in mood. Biggest pain in the butt was iPledge and monthly tests. I&#039;m a very busy person, so finding the time to run out of work in the middle of the day was difficult. But so worth it. Don&#039;t focus on all the negative stories!! I wish I would have ignored the naysayers and gone on this drug years ago! Good luck :)""",10,8-Apr-15,34
137367,Isotretinoin,Acne,"""Like most with acne as severe as mine normal topical remedies don&#039;t work. When none of the topical treatments worked my mom finally agreed to let me try oral medication. I have tried many (I don&#039;t remember the names) only one worked but it was too expensive for my mom at the time so I had to go off it. So again it got worse and all through my junior year I suffered. Finally my mom again decided she didn&#039;t want my scarring to get any worse so she agreed to put me on Accutane so we could get rid of it once and for all. I&#039;m on my first session and it has started to work. My only noticeable side effect is severe drying of my lips. Other than that I love the results. No more cystic acne, or white heads!""",9,19-Mar-13,12
137224,Isotretinoin,,"""Since the age of 11 I suffered with cystic acne and later in life I had cysts on my face, chest, back and breasts, and inner thighs. Constant blood and drainage of pus was a regular everyday event for me. After being prescribed Accutane my life changed. Nothing had ever worked. I used every soap, cream and antibiotic known to man with no results whatsoever. My acne went away and stayed away. It was like a miracle! Later in life I was put on the generic form and was not pleased at all. It did nothing.""",10,23-Feb-14,13
136908,Isotretinoin,Acne,"""Overall I used the drug for 10 months. In 3/2016 my doctor tried me on a low dose for my weight which was 40 mg and I only lasted for 3 weeks. The drug made gave me anger management issues. More alarming was by the end of the 3 weeks I was depressed - life wasn&#039;t worth it.  It took several days after I stopped it for that to go away. The drug made me very paranoid. I took myself off of it &amp; then went back on Accutane 10 mg in June &amp; worked up to 60 mg by January. I stayed on it another month on 40 mg before ending the drug. Accutane helped my acne significantly but I bled when I pooped, had trouble with BM, slept excessively, threw up constantly, was paranoid &amp; angry. Not sure it was worth it.""",9,20-Feb-17,14
137274,Isotretinoin,Acne,"""A very good treatment for acne prone skin but I faced lips dryness a lot.""",6,1-Jul-13,9
137278,Isotretinoin,Acne,"""I have moderate acne and its really annoying to be honest. I tried everything from over the counter medicines like Clearasil scrub and wipes, Oxyface wash, tea tree oil, clean and clear and none of improved and to be honest it made it worse. So then I went to the doctor and he prescribed me Duac, Zineryt, tetracycline and Differin. The Duac I was prescribed with 2 years ago and it cleared my acne up for about 20 months but then they come back again, so I went to the dermatologist he prescribed me Accutane 30mgs and 20mgs prednisone after 1 month there were little improvement but then it got really bad. I&#039;m currently on months 3 and its still bad. I&#039;ve had my dose moved up to 60mgs. I hope it works I finish my course next month.""",4,6-Jun-13,11
137487,Isotretinoin,Acne,"""its awesome""",10,20-Jul-08,39
137149,Isotretinoin,Acne,"""The side-effects suck. I would get a bloody nose at least 5 times a day, my lips would peel and get blisters, and my arms would get rashes. But it was all worth it. Accutane is amazing. I am so thankful for it. I had acne for 6 years and I tried everything you could imagine to try and clear my face up. Now after 4 long months, I am just now taking my last pill. I go to the mirror and I don&#039;t see a pimple, scar, or even a red mark on my face. my self-esteem has improved so much. I would definitely recommend it.""",10,29-Apr-15,43
137259,Isotretinoin,Acne,"""My acne was severe before Accutane. I was at the point where I wouldn&#039;t leave the house, I had no social life, it was so horrendous it was emotionally awful and physically painful too, I felt suicidal it was that bad I felt like a monster, tried so many ways to get rid of my acne from the age of 13, nothing worked. It just got worse, turned cystic and then when I turned 21 I decided to take the plunge and go for Accutane, not joking the first 2 months were hell and I felt like giving up, but I carried it on and yeah the side effects like dry skin and lips were bad and I was moody but all I regret is not taking it sooner, my skin is perfect now and glows. I look like a different person, I&#039;d advise this 100%.""",10,9-Sep-13,37
137234,Isotretinoin,Acne,"""I&#039;ve tried so many different things like topical and antibiotics, I&#039;m so glad I caught my acne early! I&#039;m only on month 3 and my face is almost cleared up! ACCUTANE IS TRULY A MIRACLE PILL! I also barely have any side effects, weirdly enough my lips are not dry and chapped.""",10,21-Dec-13,33
137374,Isotretinoin,Acne,"""My daughter has been taking Accutane for 6 months now and her skin is FLAWLESS! She is so happy!  She has been complaining of back pain, but she is going to a chiropractor and getting adjusted regularly, which seems to help.  At first her lips were terribly chapped!  But I bought some really good chapstick and now she is fine.  She is tired, but she is also a teenager, so that may come in to play.  She would not wear tank tops last summer because her skin was so broke out.  Now I am planning my wedding and she is only looking at strapless dresses!  This has boosted her confidence and I am thankful she was able to take this medicine!""",9,9-Jan-13,40
137327,Isotretinoin,Acne,"""Took Accutane my sophomore year of college for 6 months, and now, 2 1/2 years later, I am still acne free.  My skin is no longer oily and I will get the occasional, non-inflamed pimple, but that is it! The only side effects I had were dry skin, dry lips, and occasional eczema on top of my hands (which was completely fixed by Aquaphor).  I was completely clear on Accutane after 2 months so the remaining 4 months was a breeze.  I had acne on my chest and back and since then I have had NOTHING on my chest and back, ever.  This medicine really, really works, and its the only thing out there that worked for me after trying just about everything. It&#039;s not worth it to wait and see if other things work, just try it, it&#039;s a miracle.""",10,21-Apr-12,13
136995,Isotretinoin,Acne,"""Taking Accutane/Isotretinoin was the Best Decision I made! I had Moderate acne and very oily skin and now my Face, back, and chest are Clear! My only side effects were dry lips my hair started to thin my last month of treatment. I took it for 5 &amp; 1/2 months, did not see a Dr and bought it off the internet. The Depo shot was my Birth control while taking it. I figured out my own dosage by how much I weighted and I started with 20 mg a day just to get used to it. Then went to 40 mg a day after a month. Then I finished my last 3 months with 60 mg a day, which was the correct dosage for my weight. 130 pounds. I avoided taking Vitamin A and drank plenty of water to help hydrate my skin. The best money I spent as well, compared to the years I spent trying everything else. I was tired of my acne killing my self-esteem, always covering up my chest and back, ashamed to take pictures. I know that depression is a potential symptom, but Taking Isotretinoin brought me nothing but happiness! I started seeing results in the first month. My pores shrank and my oily face and hair dramatically changed too. I have been off the medicine for a month and a half now still No acne at all, like not even one! My hair is back to normal now too, not as oily as it used to be. Overall I would strongly recommend it! But of course do a lot of research to see if it&#039;s right for you. But it is possible to take without a Dr. or dermatologist and without taking all the pregnancy &amp; blood tests. Anyway hope this was helpful. Best of luck getting acne free! :D""",10,26-Aug-16,5
136911,Isotretinoin,Acne,"""My son had severe acne. We tried every prescription and non-prescription topical cream and also the oral medications, minocycline and doxycycline. Nothing worked and he was struggling for 2 years with self esteem crushing acne all over his face. I was hesitant to have him try Accutane because of all the side effects but I&#039;m so glad we decided to have him try it. He started at 40 mg the first month and then switched to 80 mg for 5 months. His face is completely clear. I call this a miracle drug.   It&#039;s not for everyone and please realize there are some serious side effects for some people. My son mainly just had chapped lips and some peeling skin but nothing that wasn&#039;t manageable with moisturizer and chap stick""",10,7-Feb-17,28
136887,Isotretinoin,Acne,"""I started taking this medicine 2 months back . I had to stop this medicine immediately as I started to have severe back pain and stiffness in my hip joints  .  Thankfully ,  I didn&#039;t have other side effects    . Don&#039;t take this medicine unless you have really bad acne .""",2,2-Aug-17,1
137338,Isotretinoin,Acne,"""I started using Accutane a month ago and my face has not cleared up yet, The first week I had no new break out but then my, like clockwork they started popping up again. Hearing all these stories keeps me hopeful. I never had acne till I was about 20, I&#039;m 22 now. Fingers crossed my face starts getting better.""",7,14-Sep-11,1
137247,Isotretinoin,Acne,"""I was this drug for 6 months, the process was horrible. I had dry skin, muscle aches, and the worst thing, no visible improvement. The very last month I noticed my skin was a little more clear than usual, but still not acne free. Then in the last week of my medication I cleared up and after I stopped the medication I was pimple free. It has been a year now and I hardly EVER have a pimple! I went from severe acne to nothing! Stick with it till the end! Your self confidence will thank you in the future.""",10,31-Oct-13,32
137417,Isotretinoin,Acne,"""I was on Clavaris for 5 months for my moderate acne that only got worse with age (I am 26). It worked wonders. I have been off the medicines for 3 months- not one pimple and even the old scars cleared up. One downside though was that I started getting depressed and anxious especially during the last month so I stopped taking it. The depression went away but I have trouble with speaking in public forums and in interviews now. I know, kind of ironic to have less self esteem now even with the perfect skin. Just watch out for those signs, they could be dangerous if not controlled or even acknowledged. Overall I am still happy I took the medicine.""",8,6-Nov-10,8
137406,Isotretinoin,Acne,"""I am 32 years old and have struggled with acne since high school.  I was completely freaked out about taking this medication after reading all the horror stories online, but after talking to my doctor I knew I wanted to give it a try.  I am in my 2nd month of taking the medication and I have seen dramatic results.  I have not had any bad side effects so far.  Have had dry lips (too be expected) but they have not been bad at all (Thanks to Aquaphor Lip Repair - I constantly put it on).  My skin is dry, which is also to be expected.  I wear contacts and my eyes do get dry at times, but no drops help.  I do notice joint aches at times so I take Tylenol or Advil and it helps.  It&#039;s nothing severe at all.  BEST MEDICATION EVER.""",9,14-Jan-11,21
137415,Isotretinoin,Acne,"""I started using this medication...You cannot drink, need two methods of birth control, lips chap badly, skin gets dry and gets rashes, trouble going to restroom, severe mood swings, always feeling sleepy and tired, started feeling depressed and suicidal. That&#039;s the possible down side...I started taking it about two years ago. My treatment only lasted about 4-5 months, had to cut my treatment short because of depression. It worked wonders on my skin. My skin was really REALLY BAD BUT My dermatologist told me that if ever I were to get 3-4 pimples at the same time, to consult him asap. My skin had been absolutely clear for a year....a couple of months ago, I begin to notice bad acne reappearing.""",4,8-Dec-10,5
136989,Isotretinoin,Acne,"""I will just say, I had a horrible acne.. And it didn&#039;t make it any better that I was super sensitive to fake hormones; birth control. I couldn&#039;t and still can&#039;t take it because I have a rare side effect to it that causes cystic acne.. I didn&#039;t figure this out until after the damage was done, unfortunately.. I was extremely desperate, because I tried everything known to mankind before birth control. I even tried 4 different antibiotics and only one worked, but I ended up relapsing before my year time frame was up. I was in a huge and not to mention horrible, predicament.. So, my last resort being Accutane- was the best decision I ever made. The only thing I will harshly complain about is around the fifth month I started having hair thinning.""",9,9-Sep-16,12
137305,Isotretinoin,Acne,"""I have struggled with acne for years. I finally decided to try Accutane as the last resort. It really worked for me. It&#039;s been 2 years and I have clear skin very little break out&#039;s. My daughter is 17 is on the process of taking it herself. So I&#039;m totally 100% okay with Accutane best acne medication out there. Very little side effects .""",9,4-Dec-12,16
137183,Isotretinoin,Acne,"""I have struggled with acne since I was about 10 years old (currently 21 years old) I have seen my dermatologist for several years and have been on every medication you could think of before being prescribed isotretinoin. The major side effects worried me before taking it, but I figured I&#039;d give it a shot. I was on the medication for about 5 months. It worked wonders and the only side effect I experienced was extreme dry skin and eyes. My face remained clear for only about 3 months after I was off the medicine. I knew it was too good to be true. I currently have been battling some acne that I had before isotretinoin. I visited my doctor this past week and he put me on an antibiotic. If this doesn&#039;t improve he will be putting me back on.""",7,31-Mar-15,3
